idTrips,idVehicles,startDateTime,endDateTime,startLongitude,endLongitude,startLatitude,endLatitude
10,14,"2013-12-25 18:34:08","2013-12-25 18:44:46",-82.94073258,-82.94812561,42.67197748,42.62487177
11,1,"2013-12-17 18:15:55","2013-12-17 18:29:26",-83.2152254,-83.19347201,42.64560194,42.68367357
11,2,"2013-12-18 17:23:04","2013-12-18 18:31:31",-83.20655396,-83.93091997,42.64663897,42.60736034
11,3,"2013-12-18 13:32:26","2013-12-18 14:47:10",10.78016657,10.77637275,52.40910365,52.42651457
11,5,"2013-12-19 15:29:40","2013-12-19 15:38:42",-83.2166249,-83.23878629,42.64574028,42.63506966
11,7,"2013-12-14 18:24:07","2013-12-14 18:46:29",-83.35513116,-83.35522030999999,42.20904987,42.20993684
11,8,"2013-12-18 17:50:23","2013-12-18 17:54:17",-83.21722676,-83.21366751,42.64604626,42.67940128
11,9,"2013-12-20 18:44:54","2013-12-20 19:04:43",-83.20912043564022,-83.28531042672694,42.61806474532932,42.5023226486519
11,10,"2013-12-16 18:51:48","2013-12-16 18:55:32",-83.124571,-83.14156554,42.49083028,42.48735145
11,13,"2013-12-23 19:05:26","2013-12-23 19:14:05",-83.05735027,-83.11603117,42.53108906,42.51811908
11,14,"2013-12-26 07:31:21","2013-12-26 07:49:41",-82.97129363,-82.96929914,42.68337253,42.68175705
12,1,"2013-12-17 19:06:41","2013-12-17 19:25:18",-83.19303624,-83.29311045,42.68219371,42.70744149
12,2,"2013-12-18 18:52:39","2013-12-18 19:19:00",-83.99912468,-84.41481775,42.62206649,42.72668337
12,3,"2013-12-21 13:59:42","2013-12-22 18:17:25",10.72762898,10.78524551,52.30943374,52.42205473
12,5,"2013-12-19 15:40:41","2013-12-19 18:02:06",-83.21552931,-83.30531955,42.60832838,42.7068351
12,7,"2013-12-14 18:48:28","2013-12-14 20:23:11",-83.35542987,-83.19035374,42.20949972,42.68239703
12,8,"2013-12-18 20:06:51","2013-12-18 20:32:44",-83.21617001,-83.25938119,42.6803453,42.81341598
12,9,"2013-12-20 19:29:18","2013-12-20 19:58:10",-83.31252286210656,-83.79497934132814,42.490875902585685,42.50632576178759
12,10,"2013-12-16 20:30:29","2013-12-16 20:33:47",-83.13829446,-83.1238234,42.48742095,42.49649401
12,13,"2013-12-23 21:17:29","2013-12-23 21:24:03",-83.07033173,-83.05588159,42.55030015,42.53266084
12,14,"2013-12-27 10:29:03","2013-12-27 10:45:11",-82.97548,-83.04907893,42.68023393,42.55743018
13,1,"2013-12-18 07:31:30","2013-12-18 07:53:49",-83.35414988,-83.21869984,42.73445448,42.64638347
13,2,"2013-12-18 20:51:40","2013-12-18 21:23:41",-84.41515137,-83.93205578,42.72636262,42.60330723
13,3,"2013-12-24 16:07:42","2013-12-28 15:11:15",10.78341282,10.43106498,52.41709016,52.35586672
13,5,"2013-12-19 18:04:04","2013-12-19 18:13:02",-83.3063318,-83.33228486,42.70698124,42.72629785
13,7,"2013-12-15 16:46:27","2013-12-15 16:54:43",-83.18794523,-83.28122086,42.68094773,42.70038814
13,8,"2013-12-20 07:41:01","2013-12-20 07:42:00",-83.24263102,-83.23962055,42.78498766,42.78077775
13,9,"2013-12-22 10:43:21","2013-12-22 11:00:31",-83.79497364163399,-83.68689310736954,42.5062694773078,42.63527907896787
13,10,"2013-12-17 07:04:52","2013-12-17 07:11:33",-83.1236377,-83.1249653,42.49742433,42.50275352
13,13,"2013-12-24 08:18:42","2013-12-24 09:19:15",-83.0109886,-83.08466111,42.49189702,42.53494097
13,14,"2013-12-29 11:22:40","2013-12-29 11:47:14",-82.97529423,-83.21835987,42.68106275,42.64557922
14,1,"2013-12-18 17:53:29","2013-12-18 18:23:01",-83.21511994,-83.13257493,42.6456587,42.68113812
14,2,"2013-12-19 06:50:28","2013-12-19 07:38:30",-83.80837662,-83.2195791,42.63093636,42.64491005
14,3,"2013-12-28 16:23:02","2013-12-28 22:37:01",10.50519578,10.78602634,52.27997748,52.42420739
14,5,"2013-12-20 14:40:22","2013-12-20 14:47:39",-83.30677406,-83.33238663,42.70583247,42.72673808
14,7,"2013-12-15 16:56:42","2013-12-15 19:22:32",-83.31937196,-83.19031642,42.70555354,42.681988079999996
14,8,"2013-12-20 17:57:04","2013-12-20 18:18:19",0,-83.25930021,0,42.81347365
14,9,"2013-12-22 13:19:13","2013-12-22 13:43:55",-83.6889763455838,-83.79020961932838,42.63531570788473,42.545355129987
14,10,"2013-12-17 07:53:06","2013-12-17 08:03:25",-83.11831695,-83.06861732,42.49838514,42.52036167
14,13,"2013-12-24 17:14:27","2013-12-24 18:01:03",-83.05443268,-83.05264078,42.53327973,42.53276708
14,14,"2014-01-03 12:01:12","2014-01-03 12:20:39",-83.21630623,-83.22206587,42.64572198,42.63437398
15,2,"2013-12-19 18:28:15","2013-12-19 18:34:23",-83.21382315,-83.16946203,42.64646954,42.64745657
15,3,"2013-12-30 10:32:24","2013-12-30 10:37:20",10.78256769,10.75967985,52.4198464,52.40190879
15,5,"2013-12-21 11:00:09","2013-12-21 11:11:01",-83.3324948,-83.28920851,42.72682576,42.70555326
15,7,"2013-12-16 07:52:20","2013-12-16 07:54:07",-83.18893723,-83.19328769,42.68147781,42.68068659
15,8,"2013-12-22 12:01:54","2013-12-22 12:12:33",-83.17213603,-83.19161767,42.66527582,42.68342007
15,9,"2013-12-22 14:57:14","2013-12-22 15:39:02",-83.79346330650151,-83.79483047872782,42.54706193692982,42.50621943734586
15,10,"2013-12-17 16:38:06","2013-12-17 17:08:33",-83.21799373,-83.06846067,42.64629762,42.52039293
16,2,"2013-12-19 20:57:02","2013-12-19 21:46:24",-83.17172617,-83.87498531,42.64632974,42.59004119
16,3,"2013-12-30 14:39:32","2013-12-30 15:12:20",10.42812202,10.77919455,52.35960839,52.40515463
16,5,"2013-12-21 12:33:16","2013-12-21 12:40:47",-83.28261541,-83.30762869,42.70496964,42.7280872
16,7,"2013-12-16 07:56:08","2013-12-16 08:00:24",-83.19353474,-83.21533027,42.66994015,42.64663207
16,8,"2013-12-22 12:46:03","2013-12-22 13:08:02",-83.19302992,-83.12926252,42.68573885,42.63816825
16,9,"2013-12-22 16:47:27","2013-12-22 17:06:14",-83.79435748793185,-83.7926574703306,42.50665240455419,42.50766284298152
16,10,"2013-12-18 07:23:57","2013-12-18 07:33:10",-83.12515623,-83.06867698,42.50817259,42.52041356
17,2,"2013-12-19 22:11:16","2013-12-19 22:11:57",-83.92377057,-83.92853222,42.60503857,42.60582518
17,3,"2014-01-03 13:23:29","2014-01-03 13:47:41",10.779855,10.78537542,52.40546957,52.42273863
17,5,"2013-12-22 18:13:52","2013-12-22 18:16:37",-83.3072267,-83.28981576,42.70877408,42.70743066
17,7,"2013-12-16 18:45:21","2013-12-16 18:56:17",-83.2115386,-83.19025956,42.64657301,42.68205229
17,8,"2013-12-22 13:46:07","2013-12-22 14:10:48",-83.13316738,-83.26038835,42.66540548,42.81239045
17,9,"2013-12-22 20:21:22","2013-12-22 21:35:34",-83.78508224152029,-83.79486626945436,42.50740048941225,42.50616596080363
17,10,"2013-12-18 07:40:17","2013-12-18 08:04:48",-83.06754267,-83.21952072,42.52051804,42.64489157
18,2,"2013-12-20 06:42:14","2013-12-20 07:38:12",-83.92763855,-83.21956993,42.61049912,42.64467352
18,3,"2014-01-02 18:47:22","2014-01-02 18:49:03",10.78316653,10.77909865,52.41515741,52.40516434
18,5,"2013-12-22 20:01:16","2013-12-22 20:11:15",-83.28896434,-83.33246702,42.70550108,42.72707639
18,7,"2013-12-16 20:24:23","2013-12-16 23:34:19",-83.19038603,-83.19035756,42.68195393,42.68195773
18,8,"2013-12-28 11:29:30","2013-12-28 12:11:25",-83.31338673,-83.54370102,42.94265992,43.07390969
18,9,"2013-12-23 09:16:30","2013-12-23 09:38:01",-83.7936535757035,-83.79156220704317,42.50690461602062,42.507751397788525
18,10,"2013-12-18 16:36:51","2013-12-18 17:06:17",-83.21516795,-83.06849703,42.64593186,42.52033766
19,2,"2013-12-20 16:40:06","2013-12-20 17:57:23",-83.21673551,-83.87639417,42.64629148,42.59003309
19,3,"2014-01-01 14:24:53","2014-01-01 14:29:01",10.77612775,10.78498587,52.40587906,52.42162127
19,5,"2013-12-23 14:58:17","2013-12-23 15:34:48",-83.13280394,-83.33233488,42.66977796,42.72642485
19,7,"2013-12-17 07:58:54","2013-12-17 08:05:56",-83.18794299,-83.21571561,42.68095074,42.64659703
19,8,"2013-12-28 14:57:08","2013-12-28 15:19:13",-83.26372214,-82.98459062,43.01133656,42.90846062
19,9,"2013-12-23 09:51:05","2013-12-23 10:09:05",-83.79329457879066,-83.61601866781712,42.50728175975382,42.515413127839565
19,10,"2013-12-19 07:27:57","2013-12-19 07:41:02",-83.11478992,-83.2184646,42.50901828,42.64641344
20,2,"2013-12-20 18:09:54","2013-12-20 18:16:35",-83.87845254,-83.92990503,42.5885205,42.60620225
20,3,"2013-12-31 10:05:57","2013-12-31 12:20:54",10.78228678,10.77913003,52.40523678,52.40515744
20,5,"2013-12-24 16:33:04","2013-12-24 16:43:53",-83.34010904,-83.38618928,42.72508833,42.69069373
20,7,"2013-12-17 19:45:21","2013-12-17 19:52:07",-83.20431219,-83.19028379,42.64682819,42.68213156
20,8,"2013-12-28 15:49:43","2013-12-28 16:21:27",-83.0404554,-83.25907087,42.90622522,42.81252102
20,9,"2013-12-23 10:18:47","2013-12-23 10:57:07",-83.6159776803106,-83.21616919711232,42.51553650945425,42.64549527782947
20,10,"2013-12-19 16:39:45","2013-12-19 16:45:32",-83.2145691,-83.1705559,42.64616375,42.64717105
21,2,"2013-12-21 12:43:20","2013-12-21 12:48:52",-83.90741785,-83.87864666,42.59885036,42.58842423
21,3,"2013-12-31 09:46:00","2013-12-31 10:00:07",10.77716992,10.77673106,52.40486319,52.40487373
21,5,"2013-12-24 17:22:56","2013-12-24 17:28:36",-83.34817668,-83.33231199,42.69115243,42.7270044
21,7,"2013-12-18 17:56:51","2013-12-18 19:04:21",-83.18260313,-83.19032097,42.68087678,42.68197867
21,8,"2013-12-29 10:58:25","2013-12-29 11:08:49",-83.18460749,-83.13511646,42.69442603,42.66397454
21,9,"2013-12-23 18:15:14","2013-12-23 18:23:55",-83.26202348805964,-83.28526692464948,42.60393738280982,42.5450245058164
21,10,"2013-12-19 17:42:27","2013-12-19 18:10:17",-83.17056829,-82.97388358,42.64725341,42.62711762
22,2,"2013-12-28 14:17:39","2013-12-28 16:41:30",0,0,0,0
22,5,"2013-12-24 17:56:37","2013-12-24 18:08:56",-83.33232002,-83.28778583,42.72696483,42.70658378
22,7,"2013-12-19 07:54:28","2013-12-19 07:59:55",-83.19383775,-83.21067372,42.68066357,42.64668825
22,8,"2013-12-29 15:01:28","2013-12-29 15:05:43",-83.23481522,-83.26085953,42.78426217,42.812025
22,9,"2013-12-23 18:51:09","2013-12-23 19:05:09",-83.28492159023881,-83.49739504046738,42.53661439754069,42.48982053715736
22,10,"2013-12-19 18:38:45","2013-12-19 18:47:45",-82.97041164,-82.95525767,42.62705546,42.64115708
23,2,"2013-12-30 12:27:44","2013-12-30 12:33:07",0,0,0,0
23,5,"2013-12-25 14:59:42","2013-12-25 15:17:42",-83.33239739,-83.52198458,42.72722506,42.75553546
23,7,"2013-12-19 17:19:41","2013-12-19 17:31:48",-83.20816756,-83.1893287,42.6463784,42.68210271
23,8,"2013-12-30 15:13:34","2013-12-30 15:25:44",-83.21956219,-83.23959152,42.7232904,42.7789978
23,9,"2013-12-24 07:24:20","2013-12-24 08:22:38",-83.79491622559726,-83.21673891507089,42.50615229830146,42.64605124946684
23,10,"2013-12-19 20:43:38","2013-12-19 21:16:31",-82.95606559,-83.12354617,42.63566896,42.49737369
24,2,"2013-12-30 11:47:42","2013-12-30 12:05:14",0,0,0,0
24,5,"2013-12-25 19:02:27","2013-12-25 19:45:12",-83.50829484,-83.13365745,42.75852345,42.67809135
24,7,"2013-12-19 18:07:28","2013-12-19 18:55:32",-83.18635907,-83.18980314,42.68082744,42.68207486
24,8,"2013-12-30 15:27:45","2013-12-30 15:32:42",-83.24717715,-83.2534809,42.77427677,42.78479456
24,9,"2013-12-24 12:37:20","2013-12-24 13:11:24",-83.21665559895337,-83.53910288773477,42.645782651379704,42.4960244866088
24,10,"2013-12-20 08:23:15","2013-12-20 08:51:56",-83.12478843,-83.26857339,42.49973502,42.62728734
25,2,"2013-12-30 12:13:26","2013-12-30 12:25:45",0,0,0,0
25,5,"2013-12-25 19:57:12","2013-12-25 20:31:29",-83.13371619,-83.33234484,42.68129154,42.72656963
25,7,"2013-12-24 13:24:48","2013-12-24 15:13:14",-83.19386732,-83.19034738,42.67614788,42.68189245
25,8,"2013-12-30 15:52:51","2013-12-30 16:20:12",-83.25478141,-83.26036567,42.78287068,42.8124379
25,9,"2013-12-24 13:44:57","2013-12-24 14:17:10",-83.53965517133474,-83.79483181983232,42.49667324591428,42.50617501325905
25,10,"2013-12-20 12:08:31","2013-12-20 12:25:43",-83.26839612,-83.2955169,42.6261738,42.70165082
26,2,"2013-12-30 12:39:58","2013-12-30 13:04:02",0,0,0,0
